date,positive_total,recovered_total,deceased_total,positive_daily,recovered_daily,deceased_daily,active,positive_increase,positive_increase_5d,growth_factor,ones
2020-06-18,2268,1514,98,12.0,9.0,1.0,656,0.005319148936170213,0.006107195689980925,0.7058823529411765,1
2020-06-19,2284,1518,98,16.0,4.0,0.0,668,0.007054673721340388,0.006245403161521732,1.3333333333333333,1
2020-06-20,2299,1520,99,15.0,2.0,1.0,680,0.006567425569176883,0.006565211671924406,0.9375,1
2020-06-21,2305,1524,100,6.0,4.0,1.0,681,0.0026098303610265334,0.005828750777837578,0.4,1
2020-06-22,2312,1531,100,7.0,7.0,0.0,681,0.003036876355748373,0.004917590988692478,1.1666666666666667,1
2020-06-23,2329,1533,100,17.0,2.0,0.0,696,0.007352941176470588,0.0053243494367525524,2.4285714285714284,1
2020-06-24,2349,1541,103,20.0,8.0,3.0,705,0.008587376556462,0.005630890003776876,1.1764705882352942,1
2020-06-25,2367,1548,103,18.0,7.0,0.0,716,0.007662835249042145,0.005849971939749928,0.9,1
2020-06-26,2370,1562,103,3.0,14.0,0.0,705,0.0012674271229404308,0.005581491292132707,0.16666666666666666,1
2020-06-27,2383,1567,103,13.0,5.0,0.0,713,0.005485232067510549,0.006071162434485143,4.333333333333333,1
2020-06-28,2390,1570,103,7.0,3.0,0.0,717,0.0029374737725556023,0.005188068953702145,0.5384615384615384,1
2020-06-29,2396,1578,103,6.0,8.0,0.0,715,0.002510460251046025,0.00397268569261895,0.8571428571428571,1
2020-06-30,2404,1583,103,8.0,5.0,0.0,718,0.00333889816360601,0.0031078982755317233,1.3333333333333333,1
2020-07-01,2411,1591,103,7.0,8.0,0.0,717,0.0029118136439267887,0.003436775579728995,0.875,1
2020-07-02,2421,1602,104,10.0,11.0,1.0,715,0.00414765657403567,0.0031692604810340196,1.4285714285714286,1
2020-07-03,2433,1607,104,12.0,5.0,0.0,722,0.004956629491945477,0.003573091624911995,1.2,1
2020-07-04,2441,1610,105,8.0,3.0,1.0,726,0.0032881216605014385,0.0037286239068030774,0.6666666666666666,1
